Match_index,Team 1,Team 1 Confederation,Team 2,Team 2 Confederation,Matchup_ID,Winner (or draw),Winner Confederation,Win not draw,Team 1 Goals,Team 2 Goals,Goal Differential,Absolute Goal Differential,Total Goals,Team 1 Cards,Team 2 Cards,Total Cards,Team 1 Fouls,Team 2 Fouls,Total Fouls,Winning Team Fouled More,Higher Ranked Team Fouled More,Higher Ranked Team Fouled More and Lost or Drew,Lower Ranked Team Fouls More and Wins or Draws,Higher SPI Team Fouled More,Higher SPI Team Fouled More and Lost or Drew,Lower SPI Team Fouls More and Wins or Draws,Team that fouled more,fouls equal,Team that fouled more won,Team 1 Ranking (WC Teams),Team 2 Ranking (WC Teams),Higher Ranked Team Won,Higher Ranked Team Won or Drew,Large Ranking Gap,"High SPI win, large gap",Upset,Ranking Difference,Goal Differential for Favorite by Ranking,Team 1 SPI,Team 2 SPI,Higher SPI Team Won,Higher SPI Team Won or Drew,Large SPI Gap,"High SPI win, large gap",Upset SPI,SPI Difference,Goal Differential for Favorite,Goal Differential / SPI Gap,AFC fouls,CAF fouls,CONCACAF fouls,CONMEBOL fouls,UEFA fouls
48,Algeria,CAF,Russia,UEFA,2,draw,,0,1,1,0,0,2,,,5,15,14,29,0,0,0,1,0,0,1,Algeria,0,1,21,18,0,1,0,0,0,3,0,63.43,79.03,0,1,1,0,0,15.6,0,0,FALSE,15,FALSE,FALSE,14
49,Brazil,CONMEBOL,Chile,CONMEBOL,16,Brazil,CONMEBOL,1,1,1,0,0,2,,,7,28,23,51,0,1,0,0,1,0,0,Brazil,0,,3,14,1,1,1,1,0,11,0,91.83,86.72,1,1,0,0,0,5.11,0,0,FALSE,FALSE,FALSE,28,FALSE
50,Colombia,CONMEBOL,Uruguay,CONMEBOL,16,Colombia,CONMEBOL,1,2,0,2,2,2,,,3,19,17,36,1,0,0,1,1,0,0,Colombia,0,,8,7,0,0,0,0,0,1,-2,85.82,83.35,1,1,0,0,0,2.47,2,0.81,FALSE,FALSE,FALSE,19,FALSE
51,Netherlands,UEFA,Mexico,CONCACAF,3,Netherlands,UEFA,1,2,1,1,1,3,,,3,8,12,20,0,0,0,0,0,0,0,Mexico,0,,15,19,1,1,0,0,0,4,1,82.49,76.95,1,1,0,0,0,5.54,1,0.181,FALSE,FALSE,12,FALSE,8
52,Costa Rica,CONCACAF,Greece,UEFA,3,Costa Rica,CONCACAF,1,1,1,0,0,2,,,8,23,16,39,0,0,0,1,0,0,1,Costa Rica,0,,24,12,0,0,1,0,1,12,0,74.07,76.78,0,0,0,0,0,2.71,0,0,FALSE,FALSE,23,FALSE,16
53,France,UEFA,Nigeria,CAF,2,France,UEFA,1,2,0,2,2,2,,,1,12,15,27,0,0,0,0,0,0,0,Nigeria,0,,16,28,1,1,1,1,0,12,2,86.12,75.23,1,1,1,1,0,10.89,2,0.184,FALSE,15,FALSE,FALSE,12
54,Germany,UEFA,Algeria,CAF,2,Germany,UEFA,1,2,1,1,1,3,,,3,11,20,31,0,0,0,0,0,0,0,Algeria,0,,2,21,1,1,1,1,0,19,1,88.87,63.43,1,1,1,1,0,25.44,1,0.039,FALSE,20,FALSE,FALSE,11
55,Argentina,CONMEBOL,Switzerland,UEFA,4,Argentina,CONMEBOL,1,1,0,1,1,1,,,5,19,28,47,0,0,0,0,0,0,0,Switzerland,0,,5,6,1,1,0,0,0,1,1,90,78.05,1,1,1,1,0,11.95,1,0.084,FALSE,FALSE,FALSE,19,28
56,Belgium,UEFA,USA,CONCACAF,3,Belgium,UEFA,1,2,1,1,1,3,,,2,27,11,38,1,1,0,0,1,0,0,Belgium,0,,11,13,1,1,0,0,0,2,1,81.97,77.42,1,1,0,0,0,4.55,1,0.22,FALSE,FALSE,11,FALSE,27
57,Brazil,CONMEBOL,Colombia,CONMEBOL,16,Brazil,CONMEBOL,1,2,1,1,1,3,,,4,31,23,54,1,1,0,0,1,0,0,Brazil,0,,3,8,1,1,0,0,0,5,1,91.83,85.82,1,1,0,0,0,6.01,1,0.166,FALSE,FALSE,FALSE,31,FALSE
58,France,UEFA,Germany,UEFA,1,Germany,UEFA,1,0,1,-1,1,1,,,2,15,18,33,1,1,0,0,1,0,0,Germany,0,,16,2,1,1,1,1,0,14,1,86.12,88.87,1,1,0,0,0,2.75,1,0.364,FALSE,FALSE,FALSE,FALSE,15
59,Netherlands,UEFA,Costa Rica,CONCACAF,3,Netherlands,UEFA,1,0,0,0,0,0,,,7,15,13,28,0,1,0,0,1,0,0,Netherlands,0,,15,24,1,1,0,0,0,9,0,82.49,74.07,1,1,1,1,0,8.42,0,0,FALSE,FALSE,13,FALSE,15
60,Argentina,CONMEBOL,Belgium,UEFA,4,Argentina,CONMEBOL,1,1,0,1,1,1,,,3,11,14,25,0,0,0,0,0,0,0,Belgium,0,,5,11,1,1,0,0,0,6,1,90,81.97,1,1,1,1,0,8.03,1,0.125,FALSE,FALSE,FALSE,11,14
61,Brazil,CONMEBOL,Germany,UEFA,4,Germany,UEFA,1,1,7,-6,6,8,,,1,11,14,25,1,1,0,0,0,0,1,Germany,0,,3,2,1,1,0,0,0,1,6,91.83,88.87,0,0,0,0,0,2.96,-6,-2.027,FALSE,FALSE,FALSE,11,14
62,Netherlands,UEFA,Argentina,CONMEBOL,4,Argentina,CONMEBOL,1,0,0,0,0,0,,,3,15,10,25,0,0,0,0,0,0,0,Netherlands,0,,15,5,1,1,0,0,0,10,0,82.49,90,1,1,0,0,0,7.51,0,0,FALSE,FALSE,FALSE,10,15
63,Brazil,CONMEBOL,Netherlands,UEFA,4,Netherlands,UEFA,1,0,3,-3,3,3,,,5,16,20,36,1,0,0,1,0,0,1,Netherlands,0,,3,15,0,0,1,0,1,12,-3,91.83,82.49,0,0,1,0,1,9.34,-3,-0.321,FALSE,FALSE,FALSE,16,20
64,Germany,UEFA,Argentina,CONMEBOL,4,Germany,UEFA,1,1,0,1,1,1,,,4,20,16,36,1,1,0,0,0,0,1,Germany,0,,2,5,1,1,0,0,0,3,1,88.87,90,0,0,0,0,0,1.13,-1,-0.885,FALSE,FALSE,FALSE,16,20
